model_name,run_0_acc,run_1_acc,run_2_acc,mean_acc,std_acc
MixedCNNbs_128_ep30_lr0.001dp0wd_0,65.67555555555556,67.31888888888889,67.11666666666666,66.704,0.732
MixedCNNbs_16_ep30_lr0.001dp0wd_0,66.68444444444444,65.68888888888888,66.77666666666667,66.383,0.492
MixedCNNbs_64_ep30_lr0.001dp0wd_0,66.81222222222222,66.64111111111112,66.42666666666666,66.627,0.158
SimpleCNNbs_128_ep30_lr0.001dp0wd_0,64.94666666666667,66.17777777777778,65.96222222222222,65.696,0.537
SimpleCNNbs_16_ep30_lr0.001dp0wd_0,66.38444444444444,65.09777777777778,66.30222222222223,65.928,0.588
SimpleCNNbs_64_ep30_lr0.001dp0wd_0,67.29333333333334,66.70333333333333,66.33222222222223,66.776,0.396
MixedCNNbs_64_ep30_lr0.01dp0wd_0,62.75333333333333,62.355555555555554,61.48555555555556,62.198,0.529
MixedCNNbs_64_ep30_lr1e-05dp0wd_0,58.63777777777778,59.12,59.19222222222222,58.983,0.246
SimpleCNNbs_64_ep30_lr0.01dp0wd_0,63.056666666666665,63.452222222222225,62.812222222222225,63.107,0.264
SimpleCNNbs_64_ep30_lr1e-05dp0wd_0,60.03777777777778,60.272222222222226,60.39222222222222,60.234,0.147
MixedCNNbs_64_ep30_lr0.001dp0wd_0.0001,65.57666666666667,67.60666666666667,66.02333333333333,66.402,0.871
MixedCNNbs_64_ep30_lr0.001dp0wd_0.001,67.33222222222223,67.17,67.38444444444444,67.296,0.091
SimpleCNNbs_64_ep30_lr0.001dp0wd_0.0001,65.49888888888889,66.17555555555556,66.4011111111111,66.025,0.383
SimpleCNNbs_64_ep30_lr0.001dp0wd_0.001,66.49,66.49444444444444,68.16777777777777,67.051,0.79
MixedCNNbs_64_ep30_lr0.001dp0.3wd_0.001,68.11,68.08666666666667,68.49666666666667,68.231,0.188
MixedCNNbs_64_ep30_lr0.001dp0.5wd_0.001,67.91333333333333,67.57555555555555,67.83444444444444,67.774,0.144
SimpleCNNbs_64_ep30_lr0.001dp0.3wd_0.001,68.00333333333333,67.52777777777777,68.35,67.96,0.337
SimpleCNNbs_64_ep30_lr0.001dp0.5wd_0.001,68.47,68.85333333333334,67.87222222222222,68.399,0.404
MixedCNNbs_64_ep30_lr0.001dp0.3wd_0.001aug_1,68.99,68.94333333333333,69.07555555555555,69.003,0.055
MixedCNNbs_64_ep30_lr0.001dp0.3wd_0.001aug_2,66.13333333333334,66.30333333333333,66.25555555555556,66.231,0.072
MixedCNNbs_64_ep30_lr0.001dp0.3wd_0.001aug_4,68.34222222222222,67.87555555555555,68.65555555555555,68.291,0.32
MixedCNNbs_64_ep30_lr0.001dp0.3wd_0.001aug_7,66.25444444444445,66.04777777777778,66.30111111111111,66.201,0.11
SimpleCNNbs_64_ep30_lr0.001dp0.5wd_0.001aug_1,69.99666666666667,69.58111111111111,69.74222222222222,69.773,0.171
SimpleCNNbs_64_ep30_lr0.001dp0.5wd_0.001aug_2,67.17111111111112,66.83222222222223,67.81555555555556,67.273,0.408
SimpleCNNbs_64_ep30_lr0.001dp0.5wd_0.001aug_4,69.03222222222222,68.45444444444445,68.44333333333333,68.643,0.275
SimpleCNNbs_64_ep30_lr0.001dp0.5wd_0.001aug_7,66.91777777777777,66.71555555555555,66.78111111111112,66.805,0.084
MixedCNNbs_64_ep30_lr0.001dp0.3wd_0.001aug_13,63.007777777777775,64.29666666666667,63.56666666666667,63.624,0.528
MixedCNNbs_64_ep30_lr0.001dp0.3wd_0.001aug_5,68.50777777777778,68.86111111111111,68.48666666666666,68.619,0.172
MixedCNNbs_64_ep30_lr0.001dp0.3wd_0.001aug_8,64.75222222222222,63.72,65.21444444444444,64.562,0.625
SimpleCNNbs_64_ep30_lr0.001dp0.3wd_0.001aug_13,65.73444444444445,65.42333333333333,65.9888888888889,65.716,0.231
SimpleCNNbs_64_ep30_lr0.001dp0.3wd_0.001aug_5,69.27111111111111,69.37666666666667,69.51777777777778,69.389,0.101
SimpleCNNbs_64_ep30_lr0.001dp0.3wd_0.001aug_8,65.58888888888889,65.69333333333333,66.28666666666666,65.856,0.307
PrototypicalNetwith_MixedCNN_nway5_kshot1_lr0.001,59.118,58.52,59.972,59.203,0.596
PrototypicalNetwith_MixedCNN_nway5_kshot5_lr0.001,74.494,73.642,73.38,73.839,0.476
PrototypicalNetwith_SimpleCNN_nway5_kshot1_lr0.001,56.816,57.3,56.194,56.77,0.453
PrototypicalNetwith_SimpleCNN_nway5_kshot5_lr0.001,71.874,72.398,72.064,72.112,0.217
